company_name,url,year_founded,city,state,country,zip_code,full_time_employees,company_type,company_category,revenue_source,business_model
"3 Round Stones, Inc.",http://3RoundStones.com,2010,Washington,DC,us,20004,10-Jan,Private,Data/Technology,"Data analysis for clients, Database licensing, Subscriptions","Business to Business, Business to Consumer"
48 Factoring Inc.,https://www.48factoring.com,2014, Philadelphia,PA,us,19087,51-200,Private,Finance & Investment,Financial Services,Business to Business
5PSolutions,www.5psolutions.com,2007,Fairfax,VA,us,22003,10-Jan,Private,Data/Technology,"Subscriptions, User fees for web or mobile access","Business to Business, Business to Consumer, Business to Government"
Abt Associates,abtassoc.com,1965,Cambridge,MA,us,2138,"1,001-5,000",Private,Research & Consulting,"Data analysis for clients, Database licensing",
Accela,http://www.accela.com,1999,San Ramon,CA,us,94583,"501-1,000",Private,Governance,Not reported by company,Business to Consumer
Accenture,http://www.accenture.com/us-en/pages/index.aspx,1989,Chicago,IL,us,60601,"10,001+",Public,,Not reported by company,Business to Business
AccuWeather,http://www.accuweather.com,1962,State College,PA,us,16803,201-500,Private,Environment & Weather,Subscriptions,"Business to Business, Business to Consumer, Business to Government"
Acxiom,http://acxiom.com,1969,Little Rock,AR,us,72201,"5,001-10,000",Public,Data/Technology,Not reported by company,Business to Business
Adaptive,http://www.adaptive.com,2001,Irvine,CA,us,92618,Nov-50,Private,Business & Legal Services,Not reported by company,Business to Business
Adobe Digital Government,http://www.adobe.com/solutions/government.html,2009,San Jose,CA,us,95510,"10,001+",Public,Data/Technology,Not reported by company,Business to Government
Aidin,http://www.myAidin.com,2011,New York,NY,us,10013,10-Jan,Private,Healthcare,Not reported by company,"Business to Business, Business to Consumer"
Alarm.com,www.alarm.com,2000,Leesburg Pike Vienna,VA,us,22182,201-500,Private,Lifestyle & Consumer,,Business to Consumer
Allianz,http://www.allianzusa.com,1896,New York,NY,us,10019,"10,001+",Public,Finance & Investment,Not reported by company,Business to Consumer
Allied Van Lines,http://www.allied.com,1928,Oakbrook Terrace,IL,us,60181,"5,001-10,000",Private,Transportation,Not reported by company,"Business to Business, Business to Consumer, Business to Government"
AllState Insurance Group,http://www.allstate.com,1931,Northbrook,IL,us,60062,"10,001+",Public,Insurance,Not reported by company,Business to Consumer
Alltuition,https://www.alltuition.com,2009,Chicago,IL,us,60611,10-Jan,Private,Education,Not reported by company,Business to Consumer
Altova,http://www.altova.com,1992,Beverly,MA,us,1915,51-200,Private,Data/Technology,Not reported by company,Business to Business
Amazon Web Services,http://aws.amazon.com,2007,Seattle,WA,us,98109,NA,Public,Data/Technology,Not reported by company,
American Red Ball Movers,http://www.redball.com,1919,Indianapolis,IN,us,46239,Nov-50,Private,Transportation,Not reported by company,"Business to Business, Business to Consumer"
Amida Technology Solutions,http://amida-tech.com/index.html,2013,Washington,DC,us,20036,10-Jan,Private,Healthcare,Not reported by company,"Business to Business, Business to Consumer"
Analytica,http://www.analytica.net/,2007,Washington DC,DC,us,20005,Nov-50,Private,Data/Technology,"Data analysis for clients, Database licensing, Software licensing, Information Brokering","Business to Business, Business to Government"
Apextech LLC,apextechllc.com,2003,Arlington,VA,us,22201,Nov-50,Private,Data/Technology,"Data analysis for clients, Database licensing",Business to Government
